2.9497 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1280, 800]. Using actual size
3.9640 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.4122 	EXP 	Created instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=276, italic=False, name='instructions', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4165 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4195 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4274 	EXP 	Created  = <psychopy.visual.radial.RadialStim object at 0x11689a50>
4.4305 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='green', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,  128.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4330 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'red', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=138, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,    0.,    0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=UNKNOWN)
4.4527 	EXP 	TextStim: autoDraw = True
33.5680 	DATA 	Keypress: space
33.5842 	EXP 	TextStim: autoDraw = False
33.5842 	EXP 	TextStim: autoDraw = True
34.3685 	DATA 	Keypress: space
34.3846 	EXP 	TextStim: autoDraw = False
34.3846 	EXP 	TextStim: autoDraw = True
70.3732 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
70.4379 	EXP 	New trial (rep=0, index=0): None
70.4389 	EXP 	Imported phase_loop.csv as conditions, 2 conditions, 1 params
70.4392 	EXP 	Created sequence: sequential, trialTypes=2, nReps=288, seed=None
70.4419 	EXP 	New trial (rep=0, index=0): {'phase': 0.0}
70.4441 	EXP 	New trial (rep=0, index=1): {'phase': 0.5}
70.4530 	EXP 	TextStim: autoDraw = False
70.4530 	EXP 	RadialStim: autoDraw = False
70.4530 	EXP 	TextStim: autoDraw = False
70.4530 	EXP 	RadialStim: autoDraw = True
70.4530 	EXP 	TextStim: autoDraw = True
70.5062 	EXP 	New trial (rep=1, index=0): {'phase': 0.0}
70.5197 	EXP 	RadialStim: autoDraw = False
70.5197 	EXP 	TextStim: autoDraw = False
70.5197 	EXP 	RadialStim: autoDraw = True
70.5197 	EXP 	TextStim: autoDraw = True
70.5729 	EXP 	New trial (rep=1, index=1): {'phase': 0.5}
70.5864 	EXP 	RadialStim: autoDraw = False
70.5864 	EXP 	TextStim: autoDraw = False
70.5864 	EXP 	RadialStim: autoDraw = True
70.5864 	EXP 	TextStim: autoDraw = True
70.6229 	EXP 	New trial (rep=2, index=0): {'phase': 0.0}
70.6365 	EXP 	RadialStim: autoDraw = False
70.6365 	EXP 	TextStim: autoDraw = False
70.6365 	EXP 	RadialStim: autoDraw = True
70.6365 	EXP 	TextStim: autoDraw = True
70.6896 	EXP 	New trial (rep=2, index=1): {'phase': 0.5}
70.7032 	EXP 	RadialStim: autoDraw = False
70.7032 	EXP 	TextStim: autoDraw = False
70.7032 	EXP 	RadialStim: autoDraw = True
70.7032 	EXP 	TextStim: autoDraw = True
70.7565 	EXP 	New trial (rep=3, index=0): {'phase': 0.0}
70.7698 	EXP 	RadialStim: autoDraw = False
70.7698 	EXP 	TextStim: autoDraw = False
70.7698 	EXP 	RadialStim: autoDraw = True
70.7698 	EXP 	TextStim: autoDraw = True
70.8230 	EXP 	New trial (rep=3, index=1): {'phase': 0.5}
70.8366 	EXP 	RadialStim: autoDraw = False
70.8366 	EXP 	TextStim: autoDraw = False
70.8366 	EXP 	RadialStim: autoDraw = True
70.8366 	EXP 	TextStim: autoDraw = True
70.8726 	EXP 	New trial (rep=4, index=0): {'phase': 0.0}
70.8865 	EXP 	RadialStim: autoDraw = False
70.8865 	EXP 	TextStim: autoDraw = False
70.8865 	EXP 	RadialStim: autoDraw = True
70.8865 	EXP 	TextStim: autoDraw = True
70.9399 	EXP 	New trial (rep=4, index=1): {'phase': 0.5}
70.9532 	EXP 	RadialStim: autoDraw = False
70.9532 	EXP 	TextStim: autoDraw = False
70.9532 	EXP 	RadialStim: autoDraw = True
70.9532 	EXP 	TextStim: autoDraw = True
71.0064 	EXP 	New trial (rep=5, index=0): {'phase': 0.0}
71.0200 	EXP 	RadialStim: autoDraw = False
71.0200 	EXP 	TextStim: autoDraw = False
71.0200 	EXP 	RadialStim: autoDraw = True
71.0200 	EXP 	TextStim: autoDraw = True
71.0727 	EXP 	New trial (rep=5, index=1): {'phase': 0.5}
71.0865 	EXP 	RadialStim: autoDraw = False
71.0865 	EXP 	TextStim: autoDraw = False
71.0865 	EXP 	RadialStim: autoDraw = True
71.0865 	EXP 	TextStim: autoDraw = True
71.1218 	EXP 	New trial (rep=6, index=0): {'phase': 0.0}
71.1365 	EXP 	RadialStim: autoDraw = False
71.1365 	EXP 	TextStim: autoDraw = False
71.1365 	EXP 	RadialStim: autoDraw = True
71.1365 	EXP 	TextStim: autoDraw = True
71.1899 	EXP 	New trial (rep=6, index=1): {'phase': 0.5}
71.2034 	EXP 	RadialStim: autoDraw = False
71.2034 	EXP 	TextStim: autoDraw = False
71.2034 	EXP 	RadialStim: autoDraw = True
71.2034 	EXP 	TextStim: autoDraw = True
71.2567 	EXP 	New trial (rep=7, index=0): {'phase': 0.0}
71.2702 	EXP 	RadialStim: autoDraw = False
71.2702 	EXP 	TextStim: autoDraw = False
71.2702 	EXP 	RadialStim: autoDraw = True
71.2702 	EXP 	TextStim: autoDraw = True
71.3234 	EXP 	New trial (rep=7, index=1): {'phase': 0.5}
71.3369 	EXP 	RadialStim: autoDraw = False
71.3369 	EXP 	TextStim: autoDraw = False
71.3369 	EXP 	RadialStim: autoDraw = True
71.3369 	EXP 	TextStim: autoDraw = True
71.3735 	EXP 	New trial (rep=8, index=0): {'phase': 0.0}
71.3868 	EXP 	RadialStim: autoDraw = False
71.3868 	EXP 	TextStim: autoDraw = False
71.3868 	EXP 	RadialStim: autoDraw = True
71.3868 	EXP 	TextStim: autoDraw = True
71.4401 	EXP 	New trial (rep=8, index=1): {'phase': 0.5}
71.4536 	EXP 	RadialStim: autoDraw = False
71.4536 	EXP 	TextStim: autoDraw = False
71.4536 	EXP 	RadialStim: autoDraw = True
71.4536 	EXP 	TextStim: autoDraw = True
71.5069 	EXP 	New trial (rep=9, index=0): {'phase': 0.0}
71.5203 	EXP 	RadialStim: autoDraw = False
71.5203 	EXP 	TextStim: autoDraw = False
71.5203 	EXP 	RadialStim: autoDraw = True
71.5203 	EXP 	TextStim: autoDraw = True
71.5734 	EXP 	New trial (rep=9, index=1): {'phase': 0.5}
71.5870 	EXP 	RadialStim: autoDraw = False
71.5870 	EXP 	TextStim: autoDraw = False
71.5870 	EXP 	RadialStim: autoDraw = True
71.5870 	EXP 	TextStim: autoDraw = True
71.6236 	EXP 	New trial (rep=10, index=0): {'phase': 0.0}
71.6370 	EXP 	RadialStim: autoDraw = False
71.6370 	EXP 	TextStim: autoDraw = False
71.6370 	EXP 	RadialStim: autoDraw = True
71.6370 	EXP 	TextStim: autoDraw = True
71.6901 	EXP 	New trial (rep=10, index=1): {'phase': 0.5}
71.7036 	EXP 	RadialStim: autoDraw = False
71.7036 	EXP 	TextStim: autoDraw = False
71.7036 	EXP 	RadialStim: autoDraw = True
71.7036 	EXP 	TextStim: autoDraw = True
71.7570 	EXP 	New trial (rep=11, index=0): {'phase': 0.0}
71.7704 	EXP 	RadialStim: autoDraw = False
71.7704 	EXP 	TextStim: autoDraw = False
71.7704 	EXP 	RadialStim: autoDraw = True
71.7704 	EXP 	TextStim: autoDraw = True
71.8237 	EXP 	New trial (rep=11, index=1): {'phase': 0.5}
71.8370 	EXP 	RadialStim: autoDraw = False
71.8370 	EXP 	TextStim: autoDraw = False
71.8370 	EXP 	RadialStim: autoDraw = True
71.8370 	EXP 	TextStim: autoDraw = True
71.8735 	EXP 	New trial (rep=12, index=0): {'phase': 0.0}
71.8871 	EXP 	RadialStim: autoDraw = False
71.8871 	EXP 	TextStim: autoDraw = False
71.8871 	EXP 	RadialStim: autoDraw = True
71.8871 	EXP 	TextStim: autoDraw = True
71.9405 	EXP 	New trial (rep=12, index=1): {'phase': 0.5}
71.9537 	EXP 	RadialStim: autoDraw = False
71.9537 	EXP 	TextStim: autoDraw = False
71.9537 	EXP 	RadialStim: autoDraw = True
71.9537 	EXP 	TextStim: autoDraw = True
72.0070 	EXP 	New trial (rep=13, index=0): {'phase': 0.0}
72.0205 	EXP 	RadialStim: autoDraw = False
72.0205 	EXP 	TextStim: autoDraw = False
72.0205 	EXP 	RadialStim: autoDraw = True
72.0205 	EXP 	TextStim: autoDraw = True
72.0737 	EXP 	New trial (rep=13, index=1): {'phase': 0.5}
72.0872 	EXP 	RadialStim: autoDraw = False
